"title","date_time_begin","date_time_end","url","location_name","location_lat","location_lng","tags"
"Treffen der LUG Ottobrunn","2009-07-15T20:00:00","","http://www.lug-ottobrunn.de","Weinstube gegenüber Wolf-Ferrari-Haus","48.0640543","11.6652116",""
"LUG München","2009-07-15T20:00:00","","http://www.muc-lug.de/","Gaststätte ""Rhaetenhaus""","48.1447889","11.5629235",""
"Cocoaheads München","2009-07-15T20:00:00","","http://cocoaheads.org/de/Munich/index.html","Augustinerbräu","48.1428334","11.5528013",""
"AK Enterprise Architecture Management","2009-07-20T19:00:00","","http://de.groups.yahoo.com/group/gi-muc-ak-eam/message/3","Cirquent GmbH","48.1372535533","11.6472458839",""
"Java User Group","2009-07-20T19:00:00","","http://haug-server.dyndns.org/confluence/display/JUGM/JUGM%2BTermine","Firma mgm technology partners","48.1881217","11.5856197",""
".NET Developers Group München","2009-07-21T18:00:00","","http://www.munichdot.net/Events/571.aspx","Firma TESIS","48.09886","11.53357",""
"Deutsche ORACLE-Anwendergruppe","2009-07-22T17:30:00","","http://www.doag.org/pub/calendar.show?id=318115","Fachhochschule München","48.15508","11.55596",""
"GTUG München","2009-07-23T19:30:00","","http://gtug-muc.org","Google Germany GmbH","48.138594","11.57731",""
"Projektübergreifendes Open-Source-Treffen in München","2009-07-24T17:00:00","","http://wiki.services.openoffice.org/wiki/User:Floeff/OSSTreffenMuenchen","Café Netzwerk","48.14403","11.56236",""
"Treffen der LUG Ottobrunn","2009-07-27T20:00:00","","http://www.lug-ottobrunn.de","Weinstube gegenüber Wolf-Ferrari-Haus","48.0640543","11.6652116",""
"Lockpicker-Treff","2009-07-29T19:00:00","","http://www.example.com","muCCC","48.1535408","11.5604699",""
"Munich Firefox 3.5 Party","2009-07-31T19:00:00","","http://www.spreadfirefox.com/node/4391","Irish Folk Pub","48.1552885","11.5859631",""
"µc³ Öffentliches Treffen","2009-08-11T00:00:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"LUG München","2009-08-12T20:00:00","","http://www.muc-lug.de/","Gaststätte ""Rhaetenhaus""","48.1447889","11.5629235",""
"OpenStreetMap-Treff","2009-08-18T19:00:00","","http://wiki.openstreetmap.org/index.php/M%C3%BCnchen","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
